Rank,Mode,Percentage,Category,Season
SL,Hoops,0.009,Extra,20
Bronze 1,Dropshot,99.999,Extra,20
Bronze 2,Dropshot,99.961,Extra,20
Bronze 3,Dropshot,99.795,Extra,20
Silver 1,Dropshot,99.257,Extra,20
Silver 2,Dropshot,97.782,Extra,20
Silver 3,Dropshot,95.085,Extra,20
Gold 1,Dropshot,90.191,Extra,20
Gold 2,Dropshot,82.05,Extra,20
Gold 3,Dropshot,70.015,Extra,20
Platinum 1,Dropshot,55.029,Extra,20
Platinum 2,Dropshot,39.544,Extra,20
Platinum 3,Dropshot,26.284,Extra,20
Diamond 1,Dropshot,16.459,Extra,20
Diamond 2,Dropshot,9.814,Extra,20
Diamond 3,Dropshot,5.682,Extra,20
Champion 1,Dropshot,3.22,Extra,20
Champion 2,Dropshot,1.78,Extra,20
Champion 3,Dropshot,0.988,Extra,20
GC 1,Dropshot,0.434,Extra,20
GC 2,Dropshot,0.099,Extra,20
GC 3,Dropshot,0.032,Extra,20
SL,Dropshot,0.01,Extra,20
Bronze 1,Solo Duel,99.997,Standard,19
Bronze 2,Solo Duel,99.936,Standard,19
Bronze 3,Solo Duel,99.635,Standard,19
Silver 1,Solo Duel,98.662,Standard,19
Silver 2,Solo Duel,96.37,Standard,19
Silver 3,Solo Duel,91.915,Standard,19
Gold 1,Solo Duel,84.471,Standard,19
Gold 2,Solo Duel,73.238,Standard,19
Gold 3,Solo Duel,58.718,Standard,19
Platinum 1,Solo Duel,42.071,Standard,19
Platinum 2,Solo Duel,25.647,Standard,19
Platinum 3,Solo Duel,13.814,Standard,19
Diamond 1,Solo Duel,7.015,Standard,19
Diamond 2,Solo Duel,3.446,Standard,19
Diamond 3,Solo Duel,1.699,Standard,19
Champion 1,Solo Duel,0.83,Standard,19
Champion 2,Solo Duel,0.392,Standard,19
Champion 3,Solo Duel,0.19,Standard,19
GC 1,Solo Duel,0.094,Standard,19
GC 2,Solo Duel,0.044,Standard,19
GC 3,Solo Duel,0.022,Standard,19
SL,Solo Duel,0.011,Standard,19
Bronze 1,Standard,100.002,Standard,19
Bronze 2,Standard,99.9,Standard,19
Bronze 3,Standard,99.586,Standard,19
Silver 1,Standard,98.712,Standard,19
Silver 2,Standard,96.546,Standard,19
Silver 3,Standard,91.894,Standard,19
Gold 1,Standard,83.593,Standard,19
Gold 2,Standard,71.49,Standard,19
Gold 3,Standard,57.7,Standard,19
Platinum 1,Standard,44.686,Standard,19
Platinum 2,Standard,33.402,Standard,19
Platinum 3,Standard,24.694,Standard,19
