Rank,Mode,Percentage,Category,Season
Platinum 3,Hoops,15.878,Extra,16
Diamond 1,Hoops,9.006,Extra,16
Diamond 2,Hoops,5.017,Extra,16
Diamond 3,Hoops,2.778,Extra,16
Champion 1,Hoops,1.529,Extra,16
Champion 2,Hoops,0.818,Extra,16
Champion 3,Hoops,0.431,Extra,16
GC 1,Hoops,0.2,Extra,16
GC 2,Hoops,0.07,Extra,16
GC 3,Hoops,0.02,Extra,16
SL,Hoops,0.01,Extra,16
Bronze 1,Dropshot,99.999,Extra,16
Bronze 2,Dropshot,99.925,Extra,16
Bronze 3,Dropshot,99.658,Extra,16
Silver 1,Dropshot,98.884,Extra,16
Silver 2,Dropshot,96.967,Extra,16
Silver 3,Dropshot,93.79,Extra,16
Gold 1,Dropshot,88.348,Extra,16
Gold 2,Dropshot,79.819,Extra,16
Gold 3,Dropshot,67.816,Extra,16
Platinum 1,Dropshot,53.376,Extra,16
Platinum 2,Dropshot,38.647,Extra,16
Platinum 3,Dropshot,26.008,Extra,16
Diamond 1,Dropshot,16.481,Extra,16
Diamond 2,Dropshot,9.902,Extra,16
Diamond 3,Dropshot,5.731,Extra,16
Champion 1,Dropshot,3.23,Extra,16
Champion 2,Dropshot,1.751,Extra,16
Champion 3,Dropshot,0.958,Extra,16
GC 1,Dropshot,0.454,Extra,16
GC 2,Dropshot,0.15,Extra,16
GC 3,Dropshot,0.046,Extra,16
SL,Dropshot,0.023,Extra,16
Bronze 1,Solo Duel,100.0,Standard,15
Bronze 2,Solo Duel,99.96,Standard,15
Bronze 3,Solo Duel,99.76,Standard,15
Silver 1,Solo Duel,98.96,Standard,15
Silver 2,Solo Duel,96.8,Standard,15
Silver 3,Solo Duel,92.29,Standard,15
Gold 1,Solo Duel,84.6,Standard,15
Gold 2,Solo Duel,73.15,Standard,15
Gold 3,Solo Duel,58.62,Standard,15
Platinum 1,Solo Duel,42.63,Standard,15
Platinum 2,Solo Duel,27.0,Standard,15
Platinum 3,Solo Duel,15.2,Standard,15
Diamond 1,Solo Duel,7.89,Standard,15
Diamond 2,Solo Duel,3.88,Standard,15
Diamond 3,Solo Duel,1.89,Standard,15
Champion 1,Solo Duel,0.92,Standard,15
Champion 2,Solo Duel,0.43,Standard,15
Champion 3,Solo Duel,0.21,Standard,15
GC 1,Solo Duel,0.1,Standard,15
GC 2,Solo Duel,0.05,Standard,15
GC 3,Solo Duel,0.03,Standard,15
SL,Solo Duel,0.01,Standard,15
Bronze 1,Standard,100.0,Standard,15
Bronze 2,Standard,99.88,Standard,15
Bronze 3,Standard,99.48,Standard,15
Silver 1,Standard,98.36,Standard,15
Silver 2,Standard,95.69,Standard,15
Silver 3,Standard,90.27,Standard,15
Gold 1,Standard,81.32,Standard,15
Gold 2,Standard,69.0,Standard,15
Gold 3,Standard,55.5,Standard,15
Platinum 1,Standard,42.95,Standard,15
Platinum 2,Standard,32.11,Standard,15
Platinum 3,Standard,23.59,Standard,15
Diamond 1,Standard,17.05,Standard,15
Diamond 2,Standard,10.62,Standard,15
Diamond 3,Standard,6.46,Standard,15
Champion 1,Standard,3.83,Standard,15
Champion 2,Standard,1.6,Standard,15
Champion 3,Standard,0.68,Standard,15
GC 1,Standard,0.27,Standard,15
GC 2,Standard,0.08,Standard,15
GC 3,Standard,0.02,Standard,15
SL,Standard,0.0,Standard,15
Bronze 1,Doubles,100.0,Standard,15
Bronze 2,Doubles,99.85,Standard,15
Bronze 3,Doubles,99.44,Standard,15
Silver 1,Doubles,98.46,Standard,15
Silver 2,Doubles,96.44,Standard,15
Silver 3,Doubles,92.83,Standard,15
Gold 1,Doubles,87.19,Standard,15
Gold 2,Doubles,79.15,Standard,15
Gold 3,Doubles,69.22,Standard,15
Platinum 1,Doubles,58.35,Standard,15
Platinum 2,Doubles,47.02,Standard,15
Platinum 3,Doubles,36.87,Standard,15
Diamond 1,Doubles,28.45,Standard,15
Diamond 2,Doubles,19.38,Standard,15
Diamond 3,Doubles,12.98,Standard,15
Champion 1,Doubles,8.51,Standard,15
Champion 2,Doubles,4.1,Standard,15
Champion 3,Doubles,1.96,Standard,15
GC 1,Doubles,0.9,Standard,15
GC 2,Doubles,0.3,Standard,15
GC 3,Doubles,0.09,Standard,15
SL,Doubles,0.04,Standard,15
Bronze 1,Rumble,100.0,Extra,15
Bronze 2,Rumble,99.97,Extra,15
Bronze 3,Rumble,99.84,Extra,15
Silver 1,Rumble,99.36,Extra,15
Silver 2,Rumble,98.07,Extra,15
Silver 3,Rumble,95.1,Extra,15
Gold 1,Rumble,89.21,Extra,15
Gold 2,Rumble,78.76,Extra,15
Gold 3,Rumble,63.43,Extra,15
Platinum 1,Rumble,45.37,Extra,15
Platinum 2,Rumble,28.75,Extra,15
Platinum 3,Rumble,16.84,Extra,15
Diamond 1,Rumble,9.46,Extra,15
Diamond 2,Rumble,5.19,Extra,15
Diamond 3,Rumble,2.85,Extra,15
Champion 1,Rumble,1.56,Extra,15
Champion 2,Rumble,0.82,Extra,15
Champion 3,Rumble,0.44,Extra,15
GC 1,Rumble,0.19,Extra,15
GC 2,Rumble,0.06,Extra,15
GC 3,Rumble,0.02,Extra,15
SL,Rumble,0.01,Extra,15
Bronze 1,Hoops,100.0,Extra,15
Bronze 2,Hoops,100.0,Extra,15
Bronze 3,Hoops,99.96,Extra,15
Silver 1,Hoops,99.75,Extra,15
Silver 2,Hoops,99.0,Extra,15
Silver 3,Hoops,96.76,Extra,15
Gold 1,Hoops,91.18,Extra,15
Gold 2,Hoops,80.27,Extra,15
Gold 3,Hoops,63.66,Extra,15
Platinum 1,Hoops,45.01,Extra,15
Platinum 2,Hoops,28.38,Extra,15
Platinum 3,Hoops,16.69,Extra,15
Diamond 1,Hoops,9.45,Extra,15
Diamond 2,Hoops,5.26,Extra,15
Diamond 3,Hoops,2.92,Extra,15
Champion 1,Hoops,1.61,Extra,15
Champion 2,Hoops,0.87,Extra,15
Champion 3,Hoops,0.46,Extra,15
GC 1,Hoops,0.22,Extra,15
GC 2,Hoops,0.09,Extra,15
GC 3,Hoops,0.03,Extra,15
SL,Hoops,0.02,Extra,15
Bronze 1,Snow day,100.0,Extra,15
Bronze 2,Snow day,99.88,Extra,15
Bronze 3,Snow day,99.57,Extra,15
Silver 1,Snow day,98.76,Extra,15
Silver 2,Snow day,97.28,Extra,15
Silver 3,Snow day,94.44,Extra,15
Gold 1,Snow day,89.44,Extra,15
Gold 2,Snow day,81.27,Extra,15
Gold 3,Snow day,69.55,Extra,15
Platinum 1,Snow day,55.48,Extra,15
Platinum 2,Snow day,40.88,Extra,15
Platinum 3,Snow day,28.25,Extra,15
Diamond 1,Snow day,18.45,Extra,15
Diamond 2,Snow day,11.55,Extra,15
Diamond 3,Snow day,6.93,Extra,15
Champion 1,Snow day,4.06,Extra,15
Champion 2,Snow day,2.28,Extra,15
Champion 3,Snow day,1.28,Extra,15
GC 1,Snow day,0.65,Extra,15
GC 2,Snow day,0.24,Extra,15
GC 3,Snow day,0.08,Extra,15
SL,Snow day,0.05,Extra,15
Bronze 1,Solo Duel,100.0,Standard,14
Bronze 2,Solo Duel,99.91,Standard,14
Bronze 3,Solo Duel,99.9,Standard,14
Silver 1,Solo Duel,99.5,Standard,14
Silver 2,Solo Duel,98.19,Standard,14
Silver 3,Solo Duel,95.14,Standard,14
Gold 1,Solo Duel,89.37,Standard,14
Gold 2,Solo Duel,80.34,Standard,14
Gold 3,Solo Duel,67.16,Standard,14
Platinum 1,Solo Duel,51.92,Standard,14
Platinum 2,Solo Duel,35.7,Standard,14
Platinum 3,Solo Duel,21.54,Standard,14
Diamond 1,Solo Duel,11.82,Standard,14
Diamond 2,Solo Duel,5.97,Standard,14
Diamond 3,Solo Duel,2.93,Standard,14
Champion 1,Solo Duel,1.44,Standard,14
Champion 2,Solo Duel,0.67,Standard,14
Champion 3,Solo Duel,0.33,Standard,14
GC 1,Solo Duel,0.16,Standard,14
GC 2,Solo Duel,0.04,Standard,14
GC 3,Solo Duel,0.02,Standard,14
SL,Solo Duel,0.02,Standard,14
Bronze 1,Standard,100.0,Standard,14
Bronze 2,Standard,99.84,Standard,14
Bronze 3,Standard,99.34,Standard,14
Silver 1,Standard,97.97,Standard,14
Silver 2,Standard,94.86,Standard,14
Silver 3,Standard,88.84,Standard,14
Gold 1,Standard,79.45,Standard,14
Gold 2,Standard,67.1,Standard,14
Gold 3,Standard,53.99,Standard,14
Platinum 1,Standard,41.87,Standard,14
Platinum 2,Standard,31.4,Standard,14
Platinum 3,Standard,23.12,Standard,14
Diamond 1,Standard,16.69,Standard,14
Diamond 2,Standard,10.43,Standard,14
Diamond 3,Standard,6.34,Standard,14
Champion 1,Standard,3.74,Standard,14
Champion 2,Standard,1.58,Standard,14
Champion 3,Standard,0.66,Standard,14
GC 1,Standard,0.26,Standard,14
GC 2,Standard,0.08,Standard,14
GC 3,Standard,0.04,Standard,14
SL,Standard,0.0,Standard,14
Bronze 1,Doubles,100.0,Standard,14
Bronze 2,Doubles,99.89,Standard,14
Bronze 3,Doubles,99.55,Standard,14
Silver 1,Doubles,98.7,Standard,14
Silver 2,Doubles,96.9,Standard,14
Silver 3,Doubles,93.6,Standard,14
Gold 1,Doubles,88.3,Standard,14
Gold 2,Doubles,80.63,Standard,14
Gold 3,Doubles,71.01,Standard,14
Platinum 1,Doubles,60.23,Standard,14
Platinum 2,Doubles,48.79,Standard,14
Platinum 3,Doubles,38.31,Standard,14
Diamond 1,Doubles,29.48,Standard,14
Diamond 2,Doubles,19.92,Standard,14
Diamond 3,Doubles,13.18,Standard,14
Champion 1,Doubles,8.52,Standard,14
Champion 2,Doubles,4.0,Standard,14
Champion 3,Doubles,1.85,Standard,14
GC 1,Doubles,0.81,Standard,14
GC 2,Doubles,0.25,Standard,14
GC 3,Doubles,0.09,Standard,14
SL,Doubles,0.03,Standard,14
Bronze 1,Rumble,100.0,Extra,14
Bronze 2,Rumble,99.95,Extra,14
Bronze 3,Rumble,99.68,Extra,14
Silver 1,Rumble,98.89,Extra,14
Silver 2,Rumble,97.04,Extra,14
Silver 3,Rumble,93.07,Extra,14
Gold 1,Rumble,85.72,Extra,14
Gold 2,Rumble,73.69,Extra,14
Gold 3,Rumble,57.45,Extra,14
Platinum 1,Rumble,39.85,Extra,14
Platinum 2,Rumble,24.81,Extra,14
Platinum 3,Rumble,14.39,Extra,14
Diamond 1,Rumble,8.02,Extra,14
Diamond 2,Rumble,4.38,Extra,14
Diamond 3,Rumble,2.4,Extra,14
Champion 1,Rumble,1.31,Extra,14
Champion 2,Rumble,0.69,Extra,14
Champion 3,Rumble,0.35,Extra,14
GC 1,Rumble,0.14,Extra,14
GC 2,Rumble,0.05,Extra,14
GC 3,Rumble,0.01,Extra,14
SL,Rumble,0.01,Extra,14
Bronze 1,Hoops,100.0,Extra,14
Bronze 2,Hoops,99.98,Extra,14
Bronze 3,Hoops,99.87,Extra,14
Silver 1,Hoops,99.28,Extra,14
Silver 2,Hoops,97.6,Extra,14
Silver 3,Hoops,93.33,Extra,14
Gold 1,Hoops,84.52,Extra,14
Gold 2,Hoops,70.1,Extra,14
Gold 3,Hoops,52.81,Extra,14
Platinum 1,Hoops,34.57,Extra,14
Platinum 2,Hoops,21.0,Extra,14
Platinum 3,Hoops,12.12,Extra,14
Diamond 1,Hoops,6.82,Extra,14
Diamond 2,Hoops,3.79,Extra,14
Diamond 3,Hoops,2.11,Extra,14
Champion 1,Hoops,1.14,Extra,14
Champion 2,Hoops,0.61,Extra,14
Champion 3,Hoops,0.31,Extra,14
GC 1,Hoops,0.13,Extra,14
GC 2,Hoops,0.05,Extra,14
GC 3,Hoops,0.01,Extra,14
SL,Hoops,0.01,Extra,14
Bronze 1,Dropshot,100.0,Extra,14
Bronze 2,Dropshot,99.91,Extra,14
Bronze 3,Dropshot,99.62,Extra,14
Silver 1,Dropshot,98.79,Extra,14
Silver 2,Dropshot,96.81,Extra,14
Silver 3,Dropshot,93.59,Extra,14
Gold 1,Dropshot,88.14,Extra,14
Gold 2,Dropshot,79.67,Extra,14
Gold 3,Dropshot,67.79,Extra,14
Platinum 1,Dropshot,53.61,Extra,14
Platinum 2,Dropshot,39.13,Extra,14
Platinum 3,Dropshot,26.54,Extra,14
Diamond 1,Dropshot,16.94,Extra,14
Diamond 2,Dropshot,10.25,Extra,14
Diamond 3,Dropshot,5.93,Extra,14
Champion 1,Dropshot,3.33,Extra,14
Champion 2,Dropshot,1.8,Extra,14
Champion 3,Dropshot,0.96,Extra,14
GC 1,Dropshot,0.45,Extra,14
GC 2,Dropshot,0.15,Extra,14
GC 3,Dropshot,0.06,Extra,14
SL,Dropshot,0.03,Extra,14
Bronze 1,Solo Duel,100.0,Standard,13
Bronze 2,Solo Duel,99.97,Standard,13
Bronze 3,Solo Duel,99.81,Standard,13
Silver 1,Solo Duel,99.08,Standard,13
Silver 2,Solo Duel,97.01,Standard,13
Silver 3,Solo Duel,92.55,Standard,13
Gold 1,Solo Duel,84.89,Standard,13
Gold 2,Solo Duel,73.52,Standard,13
Gold 3,Solo Duel,59.22,Standard,13
Platinum 1,Solo Duel,43.76,Standard,13
Platinum 2,Solo Duel,28.56,Standard,13
Platinum 3,Solo Duel,16.64,Standard,13
Diamond 1,Solo Duel,8.95,Standard,13
Diamond 2,Solo Duel,4.48,Standard,13
Diamond 3,Solo Duel,2.19,Standard,13
Champion 1,Solo Duel,1.07,Standard,13
Champion 2,Solo Duel,0.5,Standard,13
Champion 3,Solo Duel,0.24,Standard,13
GC 1,Solo Duel,0.12,Standard,13
GC 2,Solo Duel,0.06,Standard,13
GC 3,Solo Duel,0.03,Standard,13
SL,Solo Duel,0.02,Standard,13
Bronze 1,Standard,100.0,Standard,13
Bronze 2,Standard,99.86,Standard,13
Bronze 3,Standard,99.41,Standard,13
Silver 1,Standard,98.14,Standard,13
Silver 2,Standard,95.22,Standard,13
Silver 3,Standard,89.49,Standard,13
Gold 1,Standard,80.43,Standard,13
Gold 2,Standard,68.31,Standard,13
Gold 3,Standard,55.15,Standard,13
Platinum 1,Standard,42.88,Standard,13
Platinum 2,Standard,32.16,Standard,13
Platinum 3,Standard,23.67,Standard,13
Diamond 1,Standard,17.13,Standard,13
Diamond 2,Standard,10.74,Standard,13
Diamond 3,Standard,6.56,Standard,13
Champion 1,Standard,3.89,Standard,13
Champion 2,Standard,1.66,Standard,13
Champion 3,Standard,0.7,Standard,13
GC 1,Standard,0.28,Standard,13
GC 2,Standard,0.08,Standard,13
GC 3,Standard,0.02,Standard,13
SL,Standard,0.01,Standard,13
Bronze 1,Doubles,100.0,Standard,13
Bronze 2,Doubles,99.91,Standard,13
Bronze 3,Doubles,99.62,Standard,13
Silver 1,Doubles,98.85,Standard,13
Silver 2,Doubles,97.16,Standard,13
Silver 3,Doubles,93.96,Standard,13
Gold 1,Doubles,88.72,Standard,13
Gold 2,Doubles,80.98,Standard,13
Gold 3,Doubles,71.13,Standard,13
Platinum 1,Doubles,60.02,Standard,13
Platinum 2,Doubles,48.22,Standard,13
Platinum 3,Doubles,37.43,Standard,13
Diamond 1,Doubles,28.37,Standard,13
Diamond 2,Doubles,18.72,Standard,13
Diamond 3,Doubles,12.06,Standard,13
Champion 1,Doubles,7.61,Standard,13
Champion 2,Doubles,3.44,Standard,13
Champion 3,Doubles,1.52,Standard,13
GC 1,Doubles,0.63,Standard,13
GC 2,Doubles,0.17,Standard,13
GC 3,Doubles,0.05,Standard,13
SL,Doubles,0.02,Standard,13
Bronze 1,Rumble,100.0,Extra,13
Bronze 2,Rumble,99.96,Extra,13
Bronze 3,Rumble,99.74,Extra,13
Silver 1,Rumble,99.06,Extra,13
Silver 2,Rumble,97.46,Extra,13
Silver 3,Rumble,93.99,Extra,13
Gold 1,Rumble,87.57,Extra,13
Gold 2,Rumble,76.86,Extra,13
Gold 3,Rumble,61.93,Extra,13
Platinum 1,Rumble,44.89,Extra,13
Platinum 2,Rumble,29.04,Extra,13
Platinum 3,Rumble,17.28,Extra,13
Diamond 1,Rumble,9.78,Extra,13
Diamond 2,Rumble,5.35,Extra,13
Diamond 3,Rumble,2.92,Extra,13
Champion 1,Rumble,1.59,Extra,13
Champion 2,Rumble,0.84,Extra,13
Champion 3,Rumble,0.44,Extra,13
GC 1,Rumble,0.18,Extra,13
GC 2,Rumble,0.05,Extra,13
GC 3,Rumble,0.02,Extra,13
SL,Rumble,0.01,Extra,13
Bronze 1,Hoops,100.0,Extra,13
Bronze 2,Hoops,99.99,Extra,13
Bronze 3,Hoops,99.93,Extra,13
Silver 1,Hoops,99.58,Extra,13
Silver 2,Hoops,98.53,Extra,13
Silver 3,Hoops,95.71,Extra,13
Gold 1,Hoops,89.42,Extra,13
Gold 2,Hoops,78.04,Extra,13
Gold 3,Hoops,61.93,Extra,13
Platinum 1,Hoops,44.09,Extra,13
Platinum 2,Hoops,28.25,Extra,13
Platinum 3,Hoops,16.85,Extra,13
Diamond 1,Hoops,9.65,Extra,13
Diamond 2,Hoops,5.38,Extra,13
Diamond 3,Hoops,3.0,Extra,13
Champion 1,Hoops,1.65,Extra,13
Champion 2,Hoops,0.89,Extra,13
Champion 3,Hoops,0.47,Extra,13
GC 1,Hoops,0.21,Extra,13
GC 2,Hoops,0.07,Extra,13
GC 3,Hoops,0.03,Extra,13
SL,Hoops,0.02,Extra,13
Bronze 1,Snow Day,100.0,Extra,13
Bronze 2,Snow Day,99.79,Extra,13
Bronze 3,Snow Day,99.28,Extra,13
Silver 1,Snow Day,97.95,Extra,13
Silver 2,Snow Day,95.55,Extra,13
Silver 3,Snow Day,91.14,Extra,13
Gold 1,Snow Day,83.78,Extra,13
Gold 2,Snow Day,72.84,Extra,13
Gold 3,Snow Day,59.08,Extra,13
Platinum 1,Snow Day,44.54,Extra,13
Platinum 2,Snow Day,31.26,Extra,13
Platinum 3,Snow Day,20.7,Extra,13
Diamond 1,Snow Day,13.05,Extra,13
Diamond 2,Snow Day,7.85,Extra,13
Diamond 3,Snow Day,4.55,Extra,13
Champion 1,Snow Day,2.55,Extra,13
Champion 2,Snow Day,1.38,Extra,13
Champion 3,Snow Day,0.74,Extra,13
GC 1,Snow Day,0.35,Extra,13
GC 2,Snow Day,0.11,Extra,13
GC 3,Snow Day,0.04,Extra,13
SL,Snow Day,0.03,Extra,13
Bronze 1,Solo Duel,100.02,Standard,12
Bronze 2,Solo Duel,99.99,Standard,12
Bronze 3,Solo Duel,99.79,Standard,12
Silver 1,Solo Duel,98.94,Standard,12
Silver 2,Solo Duel,96.66,Standard,12
Silver 3,Solo Duel,91.91,Standard,12
Gold 1,Solo Duel,84.02,Standard,12
Gold 2,Solo Duel,72.51,Standard,12
Gold 3,Solo Duel,58.35,Standard,12
Platinum 1,Solo Duel,43.21,Standard,12
Platinum 2,Solo Duel,28.44,Standard,12
Platinum 3,Solo Duel,16.84,Standard,12
Diamond 1,Solo Duel,9.24,Standard,12
Diamond 2,Solo Duel,4.69,Standard,12
Diamond 3,Solo Duel,2.31,Standard,12
Champion 1,Solo Duel,1.13,Standard,12
Champion 2,Solo Duel,0.53,Standard,12
Champion 3,Solo Duel,0.25,Standard,12
GC 1,Solo Duel,0.12,Standard,12
GC 2,Solo Duel,0.06,Standard,12
GC 3,Solo Duel,0.03,Standard,12
SL,Solo Duel,0.02,Standard,12
Bronze 1,Standard,100.0,Standard,12
Bronze 2,Standard,99.86,Standard,12
Bronze 3,Standard,99.41,Standard,12
Silver 1,Standard,98.16,Standard,12
Silver 2,Standard,95.32,Standard,12
Silver 3,Standard,89.82,Standard,12
Gold 1,Standard,81.11,Standard,12
Gold 2,Standard,69.39,Standard,12
Gold 3,Standard,56.51,Standard,12
Platinum 1,Standard,44.34,Standard,12
Platinum 2,Standard,33.52,Standard,12
Platinum 3,Standard,24.85,Standard,12
Diamond 1,Standard,18.1,Standard,12
Diamond 2,Standard,11.43,Standard,12
Diamond 3,Standard,7.03,Standard,12
Champion 1,Standard,4.2,Standard,12
Champion 2,Standard,1.8,Standard,12
Champion 3,Standard,0.77,Standard,12
GC 1,Standard,0.31,Standard,12
GC 2,Standard,0.09,Standard,12
GC 3,Standard,0.02,Standard,12
SL,Standard,0.0,Standard,12
Bronze 1,Doubles,100.0,Standard,12
Bronze 2,Doubles,99.93,Standard,12
Bronze 3,Doubles,99.7,Standard,12
Silver 1,Doubles,99.05,Standard,12
Silver 2,Doubles,97.55,Standard,12
Silver 3,Doubles,94.6,Standard,12
Gold 1,Doubles,89.62,Standard,12
Gold 2,Doubles,82.07,Standard,12
Gold 3,Doubles,72.29,Standard,12
Platinum 1,Doubles,61.04,Standard,12
Platinum 2,Doubles,48.98,Standard,12
Platinum 3,Doubles,37.82,Standard,12
Diamond 1,Doubles,28.3,Standard,12
Diamond 2,Doubles,18.33,Standard,12
Diamond 3,Doubles,11.49,Standard,12
Champion 1,Doubles,6.97,Standard,12
Champion 2,Doubles,2.99,Standard,12
Champion 3,Doubles,1.23,Standard,12
GC 1,Doubles,0.47,Standard,12
GC 2,Doubles,0.11,Standard,12
GC 3,Doubles,0.03,Standard,12
SL,Doubles,0.01,Standard,12
Bronze 1,Rumble,100.0,Extra,12
Bronze 2,Rumble,99.95,Extra,12
Bronze 3,Rumble,99.73,Extra,12
Silver 1,Rumble,99.07,Extra,12
Silver 2,Rumble,97.55,Extra,12
Silver 3,Rumble,94.29,Extra,12
Gold 1,Rumble,88.29,Extra,12
Gold 2,Rumble,78.31,Extra,12
Gold 3,Rumble,64.21,Extra,12
Platinum 1,Rumble,47.75,Extra,12
Platinum 2,Rumble,31.8,Extra,12
Platinum 3,Rumble,19.44,Extra,12
Diamond 1,Rumble,11.23,Extra,12
Diamond 2,Rumble,6.21,Extra,12
Diamond 3,Rumble,3.41,Extra,12
Champion 1,Rumble,1.87,Extra,12
Champion 2,Rumble,0.99,Extra,12
Champion 3,Rumble,0.52,Extra,12
GC 1,Rumble,0.21,Extra,12
GC 2,Rumble,0.07,Extra,12
GC 3,Rumble,0.02,Extra,12
SL,Rumble,0.01,Extra,12
Bronze 1,Dropshot,100.0,Extra,12
Bronze 2,Dropshot,99.85,Extra,12
Bronze 3,Dropshot,99.4,Extra,12
Silver 1,Dropshot,98.2,Extra,12
Silver 2,Dropshot,95.5,Extra,12
Silver 3,Dropshot,91.33,Extra,12
Gold 1,Dropshot,84.63,Extra,12
Gold 2,Dropshot,74.74,Extra,12
Gold 3,Dropshot,61.88,Extra,12
Platinum 1,Dropshot,47.55,Extra,12
Platinum 2,Dropshot,33.84,Extra,12
Platinum 3,Dropshot,22.5,Extra,12
Diamond 1,Dropshot,14.11,Extra,12
Diamond 2,Dropshot,8.4,Extra,12
Diamond 3,Dropshot,4.79,Extra,12
Champion 1,Dropshot,2.64,Extra,12
Champion 2,Dropshot,1.38,Extra,12
Champion 3,Dropshot,0.72,Extra,12
GC 1,Dropshot,0.32,Extra,12
GC 2,Dropshot,0.08,Extra,12
GC 3,Dropshot,0.02,Extra,12
SL,Dropshot,0.01,Extra,12
Bronze 1,Hoops,99.99,Extra,12
Bronze 2,Hoops,99.98,Extra,12
Bronze 3,Hoops,99.92,Extra,12
Silver 1,Hoops,99.58,Extra,12
Silver 2,Hoops,98.56,Extra,12
Silver 3,Hoops,95.92,Extra,12
Gold 1,Hoops,90.06,Extra,12
Gold 2,Hoops,79.49,Extra,12
Gold 3,Hoops,64.28,Extra,12
Platinum 1,Hoops,46.93,Extra,12
Platinum 2,Hoops,30.92,Extra,12
Platinum 3,Hoops,18.83,Extra,12
Diamond 1,Hoops,10.93,Extra,12
Diamond 2,Hoops,6.15,Extra,12
Diamond 3,Hoops,3.43,Extra,12
Champion 1,Hoops,1.9,Extra,12
Champion 2,Hoops,1.02,Extra,12
Champion 3,Hoops,0.53,Extra,12
GC 1,Hoops,0.22,Extra,12
GC 2,Hoops,0.07,Extra,12
GC 3,Hoops,0.02,Extra,12
SL,Hoops,0.01,Extra,12
Bronze 1,Snow Day,100.01,Extra,12
Bronze 2,Snow Day,99.66,Extra,12
Bronze 3,Snow Day,98.9,Extra,12
Silver 1,Snow Day,97.06,Extra,12
Silver 2,Snow Day,93.96,Extra,12
Silver 3,Snow Day,88.58,Extra,12
Gold 1,Snow Day,80.06,Extra,12
Gold 2,Snow Day,68.33,Extra,12
Gold 3,Snow Day,54.44,Extra,12
Platinum 1,Snow Day,40.54,Extra,12
Platinum 2,Snow Day,28.26,Extra,12
Platinum 3,Snow Day,18.66,Extra,12
Diamond 1,Snow Day,11.73,Extra,12
Diamond 2,Snow Day,7.02,Extra,12
Diamond 3,Snow Day,4.06,Extra,12
Champion 1,Snow Day,2.26,Extra,12
Champion 2,Snow Day,1.2,Extra,12
Champion 3,Snow Day,0.63,Extra,12
GC 1,Snow Day,0.29,Extra,12
GC 2,Snow Day,0.07,Extra,12
GC 3,Snow Day,0.02,Extra,12
SL,Snow Day,0.01,Extra,12
Bronze 1,Solo Duel,99.99,Standard,11
Bronze 2,Solo Duel,99.97,Standard,11
Bronze 3,Solo Duel,99.8,Standard,11
Silver 1,Solo Duel,99.05,Standard,11
Silver 2,Solo Duel,96.9,Standard,11
Silver 3,Solo Duel,92.33,Standard,11
Gold 1,Solo Duel,84.64,Standard,11
Gold 2,Solo Duel,73.31,Standard,11
Gold 3,Solo Duel,59.09,Standard,11
Platinum 1,Solo Duel,43.91,Standard,11
Platinum 2,Solo Duel,29.27,Standard,11
Platinum 3,Solo Duel,17.59,Standard,11
Diamond 1,Solo Duel,9.8,Standard,11
Diamond 2,Solo Duel,5.05,Standard,11
Diamond 3,Solo Duel,2.52,Standard,11
Champion 1,Solo Duel,1.24,Standard,11
Champion 2,Solo Duel,0.58,Standard,11
Champion 3,Solo Duel,0.27,Standard,11
GC 1,Solo Duel,0.13,Standard,11
GC 2,Solo Duel,0.06,Standard,11
GC 3,Solo Duel,0.03,Standard,11
SL,Solo Duel,0.02,Standard,11
Bronze 1,Standard,100.0,Standard,11
Bronze 2,Standard,99.82,Standard,11
Bronze 3,Standard,99.26,Standard,11
Silver 1,Standard,97.8,Standard,11
Silver 2,Standard,94.57,Standard,11
Silver 3,Standard,88.58,Standard,11
Gold 1,Standard,79.45,Standard,11
Gold 2,Standard,67.55,Standard,11
Gold 3,Standard,54.87,Standard,11
Platinum 1,Standard,43.04,Standard,11
Platinum 2,Standard,32.61,Standard,11
Platinum 3,Standard,24.29,Standard,11
Diamond 1,Standard,17.78,Standard,11
Diamond 2,Standard,11.3,Standard,11
Diamond 3,Standard,6.99,Standard,11
Champion 1,Standard,4.2,Standard,11
Champion 2,Standard,1.82,Standard,11
Champion 3,Standard,0.79,Standard,11
GC 1,Standard,0.32,Standard,11
GC 2,Standard,0.09,Standard,11
GC 3,Standard,0.02,Standard,11
SL,Standard,0.0,Standard,11
Bronze 1,Doubles,99.99,Standard,11
Bronze 2,Doubles,99.94,Standard,11
Bronze 3,Doubles,99.75,Standard,11
Silver 1,Doubles,99.24,Standard,11
Silver 2,Doubles,98.04,Standard,11
Silver 3,Doubles,95.67,Standard,11
Gold 1,Doubles,91.59,Standard,11
Gold 2,Doubles,85.22,Standard,11
Gold 3,Doubles,76.67,Standard,11
Platinum 1,Doubles,66.51,Standard,11
Platinum 2,Doubles,55.03,Standard,11
Platinum 3,Doubles,43.93,Standard,11
Diamond 1,Doubles,33.92,Standard,11
Diamond 2,Doubles,22.76,Standard,11
Diamond 3,Doubles,14.82,Standard,11
Champion 1,Doubles,9.32,Standard,11
Champion 2,Doubles,4.17,Standard,11
Champion 3,Doubles,1.81,Standard,11
GC 1,Doubles,0.73,Standard,11
GC 2,Doubles,0.18,Standard,11
GC 3,Doubles,0.04,Standard,11
SL,Doubles,0.01,Standard,11
Bronze 1,Rumble,100.0,Extra,11
Bronze 2,Rumble,99.93,Extra,11
